,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Sr.No,Roundÿ??,Instituteÿ??,Programÿ??,Streamÿ??,Quotaÿ??,Categoryÿ??,Seat Genderÿ??,Opening Rankÿ??,Closing Rankÿ??,Remarkÿ??
38,Round 1,"PRAYAG INSTITUTE OF TECHNOLOGY & MANAGEMENT,ALLAHABAD",Civil Engineering,B.E./B. Tech (Lateral Entry),Home State,OPEN,Both Male and Female Seats,42525,73993,Fresh Only
39,Round 1,"PRAYAG INSTITUTE OF TECHNOLOGY & MANAGEMENT,ALLAHABAD",Civil Engineering,B.E./B. Tech (Lateral Entry),Home State,SC,Both Male and Female Seats,123199,126371,Fresh Only
40,Round 1,"U.P. INSTITUTE OF DESIGN,NOIDA",Bachelor of Design,B.Des,Home State,EWS(GL),Female Seats,439795,439795,Fresh Only
41,Round 1,"PRAYAG INSTITUTE OF TECHNOLOGY & MANAGEMENT,ALLAHABAD",Electrical Engineering,B.E./B. Tech (Lateral Entry),Home State,BC,Both Male and Female Seats,157173,157173,Fresh Only
42,Round 1,"PRAYAG INSTITUTE OF TECHNOLOGY & MANAGEMENT,ALLAHABAD",Electrical Engineering,B.E./B. Tech (Lateral Entry),Home State,EWS(GL),Female Seats,133862,133862,Fresh Only
43,Round 1,"PRAYAG INSTITUTE OF TECHNOLOGY & MANAGEMENT,ALLAHABAD",Electrical Engineering,B.E./B. Tech (Lateral Entry),Home State,OPEN,Both Male and Female Seats,23628,71776,Fresh Only
44,Round 1,"PRAYAG INSTITUTE OF TECHNOLOGY & MANAGEMENT,ALLAHABAD",Mechanical Engineering,B.E./B. Tech (Lateral Entry),Home State,OPEN,Both Male and Female Seats,15915,100455,Fresh Only
45,Round 1,"PRAYAG INSTITUTE OF TECHNOLOGY & MANAGEMENT,ALLAHABAD",Mechanical Engineering,B.E./B. Tech (Lateral Entry),Home State,SC,Both Male and Female Seats,192062,192062,Fresh Only
46,Round 1,"PRAYAG INSTITUTE OF TECHNOLOGY & MANAGEMENT,ALLAHABAD",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),Home State,BC(Girl),Female Seats,125726,125726,Fresh Only
47,Round 1,"PRAYAG INSTITUTE OF TECHNOLOGY & MANAGEMENT,ALLAHABAD",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),Home State,EWS(OPEN),Both Male and Female Seats,165358,165358,Fresh Only
48,Round 1,"PRAYAG INSTITUTE OF TECHNOLOGY & MANAGEMENT,ALLAHABAD",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),Home State,OPEN(GIRL),Female Seats,102454,102454,Fresh Only
49,Round 1,"PRAYAG INSTITUTE OF TECHNOLOGY & MANAGEMENT,ALLAHABAD",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),Home State,OPEN,Both Male and Female Seats,85602,121670,Fresh Only
50,Round 1,"PRAYAG INSTITUTE OF TECHNOLOGY & MANAGEMENT,ALLAHABAD",Electronics & Communication,B.E./B. Tech (Lateral Entry),Home State,OPEN,Both Male and Female Seats,197600,197600,Fresh Only
51,Round 1,"KIPM COLLEGE OF ENGG. & TECHNOLOGY,GORAKHPUR",Civil Engineering,B.E./B. Tech (Lateral Entry),Home State,BC,Both Male and Female Seats,170199,170199,Fresh Only
52,Round 1,"KIPM COLLEGE OF ENGG. & TECHNOLOGY,GORAKHPUR",Civil Engineering,B.E./B. Tech (Lateral Entry),Home State,OPEN,Both Male and Female Seats,106724,106724,Fresh Only
53,Round 1,"KIPM COLLEGE OF ENGG. & TECHNOLOGY,GORAKHPUR",Electrical Engineering,B.E./B. Tech (Lateral Entry),Home State,OPEN,Both Male and Female Seats,79835,152062,Fresh Only
54,Round 1,"KIPM COLLEGE OF ENGG. & TECHNOLOGY,GORAKHPUR",Electrical Engineering,B.E./B. Tech (Lateral Entry),Home State,SC,Both Male and Female Seats,204111,204111,Fresh Only
55,Round 1,"KIPM COLLEGE OF ENGG. & TECHNOLOGY,GORAKHPUR",Mechanical Engineering,B.E./B. Tech (Lateral Entry),Home State,OPEN,Both Male and Female Seats,79789,238767,Fresh Only
56,Round 1,"KIPM COLLEGE OF ENGG. & TECHNOLOGY,GORAKHPUR",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),Home State,OPEN(GIRL),Female Seats,167351,172416,Fresh Only
57,Round 1,"KIPM COLLEGE OF ENGG. & TECHNOLOGY,GORAKHPUR",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),Home State,OPEN,Both Male and Female Seats,19669,227101,Fresh Only
58,Round 1,"KIPM COLLEGE OF ENGG. & TECHNOLOGY,GORAKHPUR",Electronics & Communication,B.E./B. Tech (Lateral Entry),Home State,OPEN,Both Male and Female Seats,242319,242319,Fresh Only
